no,kabupaten/kota,ibu kota,bupati/wali kota,luas wilayah (km2)[2],jumlah penduduk (2022),kecamatan,gampong
1,Kabupaten Aceh Barat,Meulaboh,Mahdi Efendi (Pj.),"2.782,87",198.858,12,322
2,Kabupaten Aceh Barat Daya,Blangpidie,Darmansah (Pj.),"1.882,28",153.515,9,152
3,Kabupaten Aceh Besar,Kota Jantho,Muhammad Iswanto (Pj.),"2.891,48",422.241,23,604
4,Kabupaten Aceh Jaya,Calang,A. Murtala (Pj.),"3.872,35",96.049,9,172
5,Kabupaten Aceh Selatan,Tapak Tuan,Cut Syazalisma (Pj.),"4.175,38",234.169,18,260
6,Kabupaten Aceh Singkil,Singkil,Azmi (Pj.),"1.852,82",129.674,11,116
7,Kabupaten Aceh Tamiang,Karang Baru,Asra (Pj.),"2.187,66",301.800,12,216
8,Kabupaten Aceh Tengah,Takengon,Teuku Mirzuan (Pj.),"4.468,42",219.744,14,295
9,Kabupaten Aceh Tenggara,Kutacane,Syakir (Pj.),"4.179,12",227.921,16,385
10,Kabupaten Aceh Timur,Idi Rayeuk,Mahyuddin (Pj.),"6.040,6",434.929,24,513
11,Kabupaten Aceh Utara,Lhoksukon,Mahyuzar Reuby (Pj.),"2.705,26",609.705,27,852
12,Kabupaten Bener Meriah,Simpang Tiga Redelong,Haili Yoga (Pj.),"1.907,40",168.469,10,232
13,Kabupaten Bireuen,Bireuen,Aulia Sofyan (Pj.),"1.796,99",445.503,17,609
14,Kabupaten Gayo Lues,Blang Kejeren,Syaridin Porang (Pj.),"5.541,29",101.955,11,136
15,Kabupaten Nagan Raya,Suka Makmue,Fitriany Farhas (Pj.),"3.524,16",172.827,10,222
16,Kabupaten Pidie,Sigli,Wahyudi Adisiswanto (Pj.),"3.177,49",436.796,23,730
17,Kabupaten Pidie Jaya,Meureudu,Said Mulyadi (Plt.),"939,00",160.272,8,222
18,Kabupaten Simeulue,Sinabang,Ahmadlyah (Pj.),"1.821,75",94.560,10,138
19,Kota Banda Aceh,-,Amiruddin (Pj.),"56,77",254.024,9,90
20,Kota Langsa,-,Syaridin (Pj.),"224,24",186.075,5,66
21,Kota Lhokseumawe,-,A. Hanan (Pj.),"132,97",191.688,4,68
22,Kota Sabang,-,Reza Fahlevi (Pj.),"122,06",42.867,3,18
23,Kota Subulussalam,-,Affan Alfian Bintang,"1.183,60",96.296,5,82