no,kabupaten/kota,ibu kota,bupati/wali kota,luas wilayah (km2)[18],jumlah penduduk (2023)[19],kecamatan,kelurahan/desa
1,Kabupaten Bandung,Soreang,Dadang Supriatna,"1.767,96",3.749.172,31,10/270
2,Kabupaten Bandung Barat,Ngamprah,Arsan Latif (Pj.),"1.305,77",1.847.096,16,-/165
3,Kabupaten Bekasi,Cikarang Pusat,Dani Ramdan (Pj.),"1.224,88",3.197.006,23,8/179
4,Kabupaten Bogor,Cibinong,Asmawa Tosepu (Pj.),"2.710,62",5.558.885,40,19/416
5,Kabupaten Ciamis,Ciamis,Herdiat Sunarya,"1.414,71",1.281.201,27,7/258
6,Kabupaten Cianjur,Cianjur,Herman Suherman,"3.840,16",2.535.002,32,6/354
7,Kabupaten Cirebon,Sumber,Imron Rosyadi,"984,52",2.437.899,40,12/412
8,Kabupaten Garut,Tarogong Kidul,Barnas Adjidin (Pj.),"3.074,07",2.753.949,42,21/421
9,Kabupaten Indramayu,Indramayu,Nina Agustina,"2.040,11",1.933.948,31,8/309
10,Kabupaten Karawang,Karawang Barat,Aep Syaepuloh,"1.652,20",2.539.381,30,12/297
11,Kabupaten Kuningan,Kuningan,Raden Iip Hidajat (Pj.),"1.110,56",1.231.772,32,15/361
12,Kabupaten Majalengka,Majalengka,Dedi Supandi (Pj.),"1.204,24",1.354.803,26,13/330
13,Kabupaten Pangandaran,Parigi,Jeje Wiradinata,"1.010,00",442.205,10,-/93
14,Kabupaten Purwakarta,Purwakarta,Benny Irwan (Pj.),"825,74",1.036.768,17,9/183
15,Kabupaten Subang,Subang,Imran (Pj.),"1.893,95",1.636.233,30,8/245
16,Kabupaten Sukabumi,Palabuhanratu,Marwan Hamami,"4.145,70",2.790.320,47,5/381
17,Kabupaten Sumedang,Sumedang Utara,Herman Suryatman (Pj.),"1.518,33",1.205.685,26,7/270
18,Kabupaten Tasikmalaya,Singaparna,Ade Sugianto,"2.551,19",1.958.221,39,-/351
19,Kota Bandung,-,Bambang Tirtoyuliono (Pj.),"167,67",2.569.107,30,151/-
20,Kota Banjar,-,Ida Wahida Hidayati (Pj.),"113,49",208.309,4,9/16
21,Kota Bekasi,-,Raden Gani Muhamad (Pj.),"206,61",2.513.669,12,56/-
22,Kota Bogor,-,Hery Antasari (Pj.),"118,50",1.127.408,6,68/-
23,Kota Cimahi,-,Dicky Saromi (Pj.),"39,27",575.519,3,15/-
24,Kota Cirebon,-,Agus Mulyadi (Pj.),"37,36",352.347,5,22/-
25,Kota Depok,-,Mohammad Idris,"200,29",1.941.360,11,63/-
26,Kota Sukabumi,-,Kusmana Hartadji (Pj.),"48,25",364.912,7,33/-
27,Kota Tasikmalaya,-,Cheka Virgowansyah (Pj.),"171,61",757.815,10,69/-