no,kabupaten/kota,ibu kota,bupati/wali kota,"luas wilayah
(kmÂ²)[21]",jumlah penduduk (2020)[21],kecamatan,kelurahan/desa
1,Kabupaten Bangkalan,Bangkalan,Arif Mulya Adi (Pj.),"1.001,44",1.060.377,18,8/273
2,Kabupaten Banyuwangi,Banyuwangi,Ipuk Fiestiandani,"3.593,06",1.708.114,25,28/189
3,Kabupaten Blitar,Kanigoro,Rini Syarifah,"1.336,48",1.223.745,22,28/220
4,Kabupaten Bojonegoro,Bojonegoro,Adriyanto (Pj.),"2.198,79",1.301.635,28,11/419
5,Kabupaten Bondowoso,Bondowoso,Bambang Soekwanto (Pj.),"1.525,97",776.151,23,10/209
6,Kabupaten Gresik,Gresik,Fandi Akhmad Yani,"1.191,25",1.311.215,18,26/330
7,Kabupaten Jember,Jember,Hendy Siswanto,"3.092,34",2.536.729,31,22/226
8,Kabupaten Jombang,Jombang,Sugiat (Pj.),"1.115,09",1.318.062,21,4/302
9,Kabupaten Kediri,Pamenang,Hanindhito Himawan Pramana,"1.386,05",1.635.924,26,1/343
10,Kabupaten Lamongan,Lamongan,Yuhronur Efendi,"1.782,05",1.344.165,27,12/462
11,Kabupaten Lumajang,Lumajang,Indah Wahyuni (Pj.),"1.790,90",1.119.251,21,7/198
12,Kabupaten Madiun,Caruban,Tontro Pahlawanto (Pj.),"1.037,58",744.350,15,8/198
13,Kabupaten Magetan,Magetan,Hergunadi (Pj.),"688,84",670.812,18,28/207
14,Kabupaten Malang,Kepanjen,Sanusi,"3.530,65",2.654.448,33,12/378
15,Kabupaten Mojokerto,Mojosari,Ikfina Fahmawati,"717,83",1.119.209,18,5/299
16,Kabupaten Nganjuk,Nganjuk,Sri Handoko Taruna (Pj.),"1.224,25",1.103.902,20,20/264
17,Kabupaten Ngawi,Ngawi,Ony Anwar Harsono,"1.295,98",870.057,19,4/213
18,Kabupaten Pacitan,Pacitan,Indrata Nur Bayuaji,"1.389,92",586.110,12,5/166
19,Kabupaten Pamekasan,Pamekasan,Masrukin (Pj.),"792,24",850.057,13,11/178
20,Kabupaten Pasuruan,Bangil,Andriyanto (Pj.),"1.474,02",1.605.969,24,24/341
21,Kabupaten Ponorogo,Ponorogo,Sugiri Sancoko,"1.305,70",949.318,21,26/281
22,Kabupaten Probolinggo,Kraksaan,Ugas Irwanto (Pj.),"1.696,21",1.152.537,24,5/325
23,Kabupaten Sampang,Sampang,Rudy Arifiyanto (Pj.),"1.233,08",969.694,14,6/180
24,Kabupaten Sidoarjo,Sidoarjo,Ahmad Muhdlor Ali,"634,38",2.082.801,18,31/322
25,Kabupaten Situbondo,Situbondo,Karna Suswandi,"1.669,87",685.967,17,4/132
26,Kabupaten Sumenep,Sumenep,Achmad Fauzi,"1.998,54",1.124.436,27,4/330
27,Kabupaten Trenggalek,Trenggalek,Mochamad Nur Arifin,"1.147,22",731.125,14,5/152
28,Kabupaten Tuban,Tuban,Aditya Halindra Faridzky,"1.834,15",1.198.012,20,17/311
29,Kabupaten Tulungagung,Tulungagung,Heru Suseno (Pj.),"1.055,65",1.089.775,19,14/257
30,Kota Batu,-,Aries Agung Paewai (Pj.),"136,74",213.046,3,5/19
31,Kota Blitar,-,Santoso,"32,57",149.149,3,21/-
32,Kota Kediri,-,Zanariah (Pj.),"63,40",286.796,3,46/-
33,Kota Madiun,-,Maidi,"33,29",195.175,3,27/-
34,Kota Malang,-,Wahyu Hidayat (Pj.),"145,28",843.810,5,57/-
35,Kota Mojokerto,-,Mohammad Ali Kuncoro (Pj.),"16,47",132.434,3,18/-
36,Kota Pasuruan,-,Saifullah Yusuf,"35,29",208.006,4,34/-
37,Kota Probolinggo,-,Nurkholis (Pj.),"56,67",239.649,5,29/-
38,Kota Surabaya,-,Eri Cahyadi,"350,54",2.874.314,31,154/-